variant,size,threads,run,seconds,gflops,speedup,efficiency
parallel1,1024,4,1,0.647416,3.317006,4.509760,1.127440
parallel1,1024,4,2,0.659531,3.256075,4.426920,1.106730
parallel1,1024,4,3,0.652092,3.293220,4.477422,1.119355
lineParallel1,1024,4,1,0.217925,9.854231,1.651486,0.412872
lineParallel1,1024,4,2,0.200213,10.726006,1.797586,0.449396
lineParallel1,1024,4,3,0.200557,10.707572,1.794502,0.448626
parallel1,1536,4,1,5.468941,1.325258,1.637527,0.409382
parallel1,1536,4,2,5.089524,1.424054,1.759602,0.439901
parallel1,1536,4,3,5.387243,1.345356,1.662360,0.415590
lineParallel1,1536,4,1,0.797912,9.083403,1.375630,0.343907
lineParallel1,1536,4,2,0.770001,9.412663,1.425494,0.356374
lineParallel1,1536,4,3,0.813086,8.913891,1.349958,0.337489
parallel1,2048,4,1,14.160136,1.213256,1.781691,0.445423
parallel1,2048,4,2,13.274514,1.294200,1.900558,0.475139
parallel1,2048,4,3,13.420936,1.280080,1.879823,0.469956
lineParallel1,2048,4,1,1.993441,8.618199,1.794110,0.448528
lineParallel1,2048,4,2,2.018480,8.511291,1.771855,0.442964
lineParallel1,2048,4,3,2.000394,8.588244,1.787874,0.446968
parallel1,2560,4,1,30.400829,1.103734,1.954175,0.488544
parallel1,2560,4,2,29.022583,1.156149,2.046976,0.511744
parallel1,2560,4,3,29.202995,1.149007,2.034330,0.508583
lineParallel1,2560,4,1,3.882809,8.641792,2.000183,0.500046
lineParallel1,2560,4,2,4.029686,8.326811,1.927279,0.481820
lineParallel1,2560,4,3,3.885879,8.634966,1.998603,0.499651
parallel1,3072,4,1,52.631280,1.101665,2.280997,0.570249
parallel1,3072,4,2,54.040857,1.072930,2.221501,0.555375
parallel1,3072,4,3,53.240648,1.089056,2.254890,0.563723
lineParallel1,3072,4,1,6.673326,8.688630,2.081156,0.520289
lineParallel1,3072,4,2,6.939102,8.355845,2.001445,0.500361
lineParallel1,3072,4,3,6.877974,8.430107,2.019233,0.504808
parallel2,1024,4,1,2.109333,1.018087,1.384177,0.346044
parallel2,1536,4,1,4.732603,1.531453,1.892307,0.473077
parallel2,2048,4,1,12.498496,1.374555,2.018562,0.504641
parallel2,2560,4,1,38.423059,0.873289,1.546169,0.386542
parallel2,3072,4,1,98.581285,0.588165,1.217795,0.304449
