variant,size,threads,avg_seconds,avg_gflops,avg_speedup,avg_efficiency
lineParallel1,1024,4,0.206232,10.429270,1.747858,0.436965
parallel1,1024,4,0.653013,3.288767,4.471367,1.117842
parallel2,1024,4,2.109333,1.018087,1.384177,0.346044
lineParallel1,1536,4,0.793666,9.136652,1.383694,0.345923
parallel1,1536,4,5.315236,1.364889,1.686496,0.421624
parallel2,1536,4,4.732603,1.531453,1.892307,0.473077
lineParallel1,2048,4,2.004105,8.572578,1.784613,0.446153
parallel1,2048,4,13.618529,1.262512,1.854024,0.463506
parallel2,2048,4,12.498496,1.374555,2.018562,0.504641
lineParallel1,2560,4,3.932791,8.534523,1.975355,0.493839
parallel1,2560,4,29.542136,1.136297,2.011827,0.502957
parallel2,2560,4,38.423059,0.873289,1.546169,0.386542
lineParallel1,3072,4,6.830134,8.491527,2.033945,0.508486
parallel1,3072,4,53.304262,1.087884,2.252463,0.563116
parallel2,3072,4,98.581285,0.588165,1.217795,0.304449
